author,email,papers,tags
"Ivins, Erik ",,[],[]
"Hawkins, Ed ",,[],[]
"Forster, Piers ",,[],[]
"Teixeira, Izabella ",,[],[]
"Potočnik, Janez",,[],[]
IUCN,,[],[]
"Smith, Jeff",,[],[]
"Jackson, Robert B. ",,[],[]
"Lajtha, Kate ",,[],[]
"Jacobson, Mark Z. ",,[],[]
"Delucchi, Mark A. ",,[],[]
"Jambeck, Jenna R. ",,[],[]
"Geyer, Roland ",,[],[]
"Jantz, Patrick ",,[],[]
"Goetz, Scott ",,[],[]
"Jarvie, Scott",,[],[]
"Svenning, Jens-Christian",,[],[]
"Jevrejeva, S.",,[],[]
"Jackson, L.P. ",,[],[]
"Jia, Gensuo ",,[],[]
"Shevliakova, Elena ",,[],[]
"Johnson-Bice, Sean M. ",,[],[]
"Gable, Thomas D. ",,[],[]
"Johnson, David",,[],[]
"DeSimio, Patrick",,[],[]
"Jones, Isabel J. ",,[],[]
"MacDonald, Andrew J. ",,[],[]
"Jones, C.D.",,[],[]
"Ciais, P.",,[],[]
"Jones, Kendall R.",,[],[]
"Venter, Oscar ",,[],[]
"Joshi, Anup R.",,[],[]
"Dinerstein, Eric ",,[],[]
"Jung, Martin",,[],[]
"Arnell, Andy ",,[],[]
"Araújo, Kathleen ",,[],[]
"Mahajan, Devinder ",,[],[]
"Kung, Kevin Su Yau",,[],[]
"Karali, Nihan",,[],[]
"Khanna, Nina ",,[],[]
"Karan, Shivesh Kishore ",,[],[]
"Woolf, Dominic ",,[],[]
"Kauffman, J. Boone ",,[],[]
"Bernardino, Angelo F. ",,[],[]
"Kauffman, Matthew J. ",,[],[]
"Cagnacci, Francesca ",,[],[]
"Kedward, Katie ",,[],[]
"Ryan-Collins, Josh ",,[],[]
"Keeley, Annika T.H. ",,[],[]
"Beier, Paul ",,[],[]
"Keenan, Jesse M.",,[],[]
"Hill, Thomas ",,[],[]
"Keith, Heather ",,[],[]
"Kun, Zoltàn ",,[],[]
"Kennedy, Christina M. ",,[],[]
"Fariss, Brandie ",,[],[]
"Oakleaf, James R.",,[],[]
"Kiers, Toby",,[],[]
"Sheldrake, Merlin",,[],[]
"Kikstra, Jarmo S. ",,[],[]
"Nicholls, Zebedee R. J. ",,[],[]
"Kim, HyeJin ",,[],[]
"Rosa, Isabel M. D. ",,[],[]
"Kiptot, Evelyne ",,[],[]
"Franzel, Steven ",,[],[]
"Knight, Michelle L. 
",,[],[]
"Overbeck, Gerhard E. ",,[],[]
"Knowlton, Nancy",,[],[]
"Köhl, Michael",,[],[]
"Neupane, Prem R. ",,[],[]
"Kondash, Andrew J.",,[],[]
"Lauer, Nancy E. ",,[],[]
"Konings, A. G. ",,[],[]
"Williams, A. P. ",,[],[]
"Koomen, Irene",,[],[]
"van der Lee, Jan ",,[],[]
"Kornhuber, Kai",,[],[]
"Coumou, Dim ",,[],[]
"Kozicka, Marta",,[],[]
"Kremen, C. ",,[],[]
"Merenlender, A. M. ",,[],[]
"Kroll, Matthias ",,[],[]
"Kuhlmann, Wolfgang",,[],[]
"Putt, Peg",,[],[]
"Kutos, S.",,[],[]
"Stricker, E. 
",,[],[]
"LaCanne, Claire
",,[],[]
"Lundgren, Jonathan G. ",,[],[]
"Lal, Rattan",,[],[]
"Smith, Pete ",,[],[]
"Lambertini, Marco",,[],[]
"Neo, Gim",,[],[]
"Lamboll, Robin",,[],[]
"Nicholls, Zebedee",,[],[]
"Landrigan, Philip J.",,[],[]
"Fuller, Richard ",,[],[]
"Lantz, Eric",,[],[]
"Roberts, Owen ",,[],[]
"Laurent, Éloi",,[],[]
"Galli, Alessandro ",,[],[]
"Lavery, Trish J. ",,[],[]
"Roudnew, Ben ",,[],[]
"Law, Beverly E.",,[],[]
"Hudiburg, Tara W. ",,[],[]
"Lawrence, Deborah

",,[],[]
"Coe, Michael ",,[],[]
"Lawrence, Deborah ",,[],[]
"Vandecar, Karen ",,[],[]
"Leadley, Paul",,[],[]
"Alkemade, Rob ",,[],[]
"Lefebvre, David",,[],[]
"Fawzy, Samer ",,[],[]
"McKay, David",,[],[]
"Staal, Arie",,[],[]
"Levitt, James ",,[],[]
"Navalkha, Chandni ",,[],[]
"Li, Guangdng
",,[],[]
"Fang, Chuanglin ",,[],[]
"Li, Mei",,[],[]
"Trencher, Gregory ",,[],[]
"Liang, Chao",,[],[]
"Amelung, Wulf ",,[],[]
"Lim, Eun-Pa",,[],[]
"Hendon, Harry H. ",,[],[]
"Limb, Braden J. ",,[],[]
"Quinn, Jason C. ",,[],[]
"Liotta, Charlotte 
",,[],[]
"Viguié, Vincent ",,[],[]
"Littleton, Emma W.",,[],[]
"Dooley, Kate ",,[],[]
"Liu, Zhu ",,[],[]
"Deng, Zhu ",,[],[]
"Liu, Yue-Chen",,[],[]
"Sun, Xin ",,[],[]
"Liu, Xiaojuan",,[],[]
"Trogisch, Stefan ",,[],[]
"Lovejoy, Thomas ",,[],[]
"Lovins, Amory B. 
",,[],[]
"Lowder, Sarah K",,[],[]
"Skoet, Jakob ",,[],[]
"Luby, Ian H. ",,[],[]
"Miller, Steve J. ",,[],[]
"Velasquez-Manoff, Moises ",,[],[]
"MacDonald, Alexander E.",,[],[]
"Clack, Christopher T. M. ",,[],[]
"Mackey, Brendan",,[],[]
"Campbell, Carly ",,[],[]
